50,24,5,

13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,
45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,
77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,
109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,
141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,
173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,
205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,
13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,
45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,
77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,
109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,
141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,
173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,
205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,205,206,207,208,209,
13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,
45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,
77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,
13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,
45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,45,46,47,48,49,
77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,77,78,79,80,81,
109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,109,110,111,112,113,
141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,141,142,143,144,145,
173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,173,174,175,176,177,
